iter	acute_sd	adapt_sd	acute_adapt_corr
0	0.010247637373011629	0.007182955693515323	0.5508864583707516
1	0.00681562954153198	0.008043395944756386	0.5941713487909203
2	0.008649595338152526	0.010253126595302878	0.6988117324691255
3	0.00737831094509863	0.008374694322344046	0.2997906828513834
4	0.004911700924403715	0.005343080781557607	0.41580665288724566
5	0.004048388548385086	0.01033995701299764	0.5811688362265134
6	0.005500520412206503	0.0072942120836629945	0.6452781288103769
7	0.004006356507055856	0.008082010662338105	0.29250965706975907
8	0.004492792403782402	0.005810803899889738	0.7168416443851887
9	0.007626367841896707	0.005454869169860672	0.1566911698299799
10	0.005198556504060612	0.006154024652991925	-0.06114319542981168
11	0.005897483834037014	0.009014742595962782	0.818443112359722
12	0.005527161860766756	0.00788847584298989	0.7053776996926254
13	0.005741502121909831	0.007999837193917947	0.29571359613122755
14	0.004303337891805958	0.00464419474004268	0.12749165502215637
15	0.006589721395242862	0.00628161193316926	0.7961163988436267
16	0.00639572996840679	0.0056307095705541215	0.20409052033175215
17	0.007569350322925457	0.005428114672647169	0.6428567911762945
18	0.006395495991634987	0.006333905637674179	0.609944325965759
19	0.00487533229794131	0.005420588656325926	0.39374505276604665
20	0.004196674156159821	0.005638519112046062	0.6199033485098208
21	0.004771182911963345	0.004614673452179127	-0.19934579748408207
22	0.006386007540901424	0.00713599985087203	0.3221473477323593
23	0.005109471072345628	0.005724738802862856	0.5182073798239688
24	0.0061329671030736005	0.009453480823442122	0.13317664411201324
25	0.006194472317325436	0.005810315648968638	0.4524826181651037
26	0.005845413136658765	0.008427945431934935	0.2948147958236464
27	0.008532131257863746	0.006661941530992285	0.8148268563252349
28	0.008257238172060102	0.007398473167186426	0.6857037902628731
29	0.006810983981233408	0.007715162195564185	0.6019359357581054
30	0.006519875908191151	0.010459988078262455	0.5910992859774415
31	0.009985934767567489	0.008276813318638191	0.7802087871483642
32	0.004729107334079103	0.00901036110040382	0.8688299907012843
33	0.007305169600617169	0.00992672103400765	0.6550866670147679
