perm	module	n	mean_diff	p_value	bh_q
0	1	10	0.043523846153846156	0.7734027695370242	0.9943769106497712
0	2	10	0.060849183673469406	0.5720402375403291	0.9943769106497712
0	3	10	-0.07766749999999999	0.5884743730158579	0.9943769106497712
0	4	10	0.0039763057324840815	0.9466778747439568	0.9943769106497712
0	5	10	0.10432779279279283	0.36969261480636284	0.9943769106497712
0	6	10	0.17617014015844004	0.33683268390565413	0.9943769106497712
0	7	10	0.052830103092783506	0.591775889550819	0.9943769106497712
0	8	10	-0.005492203389830533	0.9541805286999523	0.9943769106497712
0	9	10	0.04778032196969698	0.6104260593465631	0.9943769106497712
0	10	10	-0.015555757575757561	0.8959793322599887	0.9943769106497712
0	11	10	0.018641923076923063	0.8444297690927778	0.9943769106497712
0	12	10	0.022147477477477487	0.8466621434152684	0.9943769106497712
0	13	10	0.08013184210526315	0.47779466534418535	0.9943769106497712
0	14	10	-0.003118908045977015	0.9782842536713654	0.9943769106497712
0	15	10	-0.05041851562499998	0.612325876838558	0.9943769106497712
0	16	10	0.03267533333333332	0.6624780776198684	0.9943769106497712
0	17	10	-0.02447212765957445	0.8016192356187599	0.9943769106497712
0	18	10	0.006167027027027022	0.9523172980536097	0.9943769106497712
0	19	10	-0.00075578124999999	0.9943769106497711	0.9943769106497712
0	20	10	0.09334454218107	0.4989190049685064	0.9943769106497712
1	1	10	0.052560974358974374	0.5507430405494445	0.9141288053655459
1	2	10	0.02860387453874539	0.7067603576279069	0.9141288053655459
1	3	10	0.1575430341365462	0.4177825655634415	0.9141288053655459
1	4	10	0.08276863636363638	0.4923889846101366	0.9141288053655459
1	5	10	-0.048475111111111094	0.6818878765373055	0.9141288053655459
1	6	10	0.08913746699669968	0.440549096861667	0.9141288053655459
1	7	10	0.0740077828054299	0.5236362318933976	0.9141288053655459
1	8	10	0.06417122448979595	0.5553179696207367	0.9141288053655459
1	9	10	0.0077062790697674435	0.9283874528268856	0.9283874528268857
1	10	10	0.04986941176470589	0.6701337199154636	0.9141288053655459
1	11	10	-0.025849354838709676	0.7702422505199373	0.9141288053655459
1	12	10	0.08309374999999997	0.573416728672556	0.9141288053655459
1	13	10	-0.02898850877192984	0.7770094845607141	0.9141288053655459
1	14	10	0.15497121212121215	0.39441970659180714	0.9141288053655459
1	15	10	-0.05892266666666668	0.6324223952150081	0.9141288053655459
1	16	10	0.03430354166666667	0.7051648991604564	0.9141288053655459
1	17	10	0.14448925675675675	0.4778740693375594	0.9141288053655459
1	18	10	0.02767709523809524	0.7161298310662882	0.9141288053655459
1	19	10	0.015886597222222222	0.8652426688171837	0.9225927516425461
1	20	10	0.012336675257731963	0.8764631140604187	0.9225927516425461
2	1	10	0.09341904458598724	0.28684479654299233	0.997204967578541
2	2	10	0.02670075268817206	0.8253627688759657	0.997204967578541
2	3	10	0.008790776836158217	0.9168257399670923	0.997204967578541
2	4	10	0.11035875992063489	0.6418545469008281	0.997204967578541
2	5	10	0.09782972332015809	0.40484638549067187	0.997204967578541
2	6	10	0.00708446808510636	0.9418716337177269	0.997204967578541
2	7	10	-0.03815365740740739	0.7592604851804647	0.997204967578541
2	8	10	0.01328586206896552	0.9070845351569585	0.997204967578541
2	9	10	0.014913589743589755	0.8647913844010546	0.997204967578541
2	10	10	-0.003851999999999983	0.9716841159309502	0.997204967578541
2	11	10	-0.03231666666666668	0.7742297164477145	0.997204967578541
2	12	10	-0.031155357142857144	0.7636214274124085	0.997204967578541
2	13	10	0.050762213114754096	0.4192794184703639	0.997204967578541
2	14	10	0.06308272727272728	0.4708038957617018	0.997204967578541
2	15	10	0.05983736434108526	0.31010755919461674	0.997204967578541
2	16	10	0.06694709325396825	0.6345948917099418	0.997204967578541
2	17	10	0.12701201680672272	0.34134947888248934	0.997204967578541
2	18	10	0.027118778317152103	0.6628260494282001	0.997204967578541
2	19	10	0.014995312500000007	0.9118134831298219	0.997204967578541
2	20	10	-0.00041036363636361985	0.997204967578541	0.997204967578541
3	1	10	-0.059685000000000044	0.7081561590779237	0.9392327883316121
3	2	10	-0.04743049180327868	0.6640812854449485	0.9392327883316121
3	3	10	0.03720443750000001	0.7412088065103739	0.9392327883316121
3	4	10	0.005007555555555543	0.9611710645517291	0.9611710645517292
3	5	10	0.0684814166666667	0.6126112035245344	0.9392327883316121
3	6	10	-0.01256480769230769	0.9092370115688042	0.9570915911250569
3	7	10	0.03447464285714286	0.7513862306652896	0.9392327883316121
3	8	10	0.07768878048780488	0.3264526979357476	0.9392327883316121
3	9	10	0.12249842182890855	0.5113622585068924	0.9392327883316121
3	10	10	-0.1178856695156695	0.37963601780977396	0.9392327883316121
3	11	10	-0.02737254901960784	0.7323340324602796	0.9392327883316121
3	12	10	-0.05240296296296297	0.6737311242317601	0.9392327883316121
3	13	10	-0.06678975768321513	0.5212197901820013	0.9392327883316121
3	14	10	0.0230804761904762	0.6860673326613735	0.9392327883316121
3	15	10	-0.04280452333333333	0.6890686860963222	0.9392327883316121
